Tipo de tarea,Intención,Socioestructura,Nombre de la tarea,Enlace Imagen,Imagen,Vídeo,Descripción de la tarea
Juego de progresión,Finalizar / Evitar Finalizar,5x3,5vs3+2 con 5 esperando y porterías en medio,https://drive.google.com/file/d/1ggH7sGIkX_thh6akJzAgK232ioljCI5H/view?usp=sharing,,https://drive.google.com/file/d/1pgY1uuzAK88FBTo1yxo_9OOSY3Vuwpjt/view?usp=sharing,"Un grupo de 5 jugadores inicia una posesión en la que tras dar tres pases, pueden disparar a portería o enviar el balón al campo contiguo.
Un segundo equipo envía 3 jugadores a la presión y deja otros dos para tapar posibles pases filtrados al tercer grupo. Si los defensores roban la pelota, pueden disparar a puerta o enviar el balón al otro campo. Si tienen éxito en cualquiera de las dos opciones, cambian de roles con el equipo que ha perdido el balón. Si no, siguen robando.
Si el balón cambia de campo, los dos jugadores que estaban entre líneas pasan a presionar al otro lado y tratan de robar o contemporizar hasta que se incorpore el tercer defensor."
Juego de progresión,Finalizar / Evitar Finalizar,3x3*,3vs3 + 3 con finalización tras acumular pases o tras robar,https://drive.google.com/file/d/1A7Djx1OiUV5LlW4IZCq7pSEKFuxBJJsD/view?usp=sharing,,https://drive.google.com/file/d/18zh3DALTPbllx6SWavZIcOJvzWw591ZB/view?usp=sharing,"Dos equipos de 3 se enfrentan con el apoyo de tres comodines (exteriores o interiores) en un juego de ubicación en la que se finaliza tras acumular 5 pases o tras robo y transición ofensiva.
Si el equipo que inicia la jugada mete gol, sigue atacando. Si no, sale fuera y los que estaban, pasan a defender."
Juego de progresión,Progresar / Evitar Progresar,2x2*,2vs2 + 2 comodines laterales y miniporterías en el fondo,https://drive.google.com/file/d/18DhLIb4mFT5XhCEFRsbHapm4V58M_a6D/view?usp=sharing,,https://drive.google.com/file/d/13kfRmGBfjl9lc3rAoE_ycEFsgp3PUWqQ/view?usp=sharing,"Tarea de posesión y finalización en miniporterías en los carriles exteriores del fondo (o porterías grandes en el medio del fondo), que se juega en 2vs2 con dos comodines en los laterales que ayudan en la conservación del balón y fomentan la realización de paredes para superar a la línea defensiva rival."
Juego de progresión,Finalizar / Evitar Finalizar,3x3*,3vs3 + 3 en el área con porterías pequeñas y grande,https://drive.google.com/file/d/16Urj9QIpsT2oTNuUVVoD680sWDrvqj1k/view?usp=sharing,,https://drive.google.com/file/d/1z4kEQNzZzv5z97gg7Kp6L13T2QnTYkg7/view?usp=sharing,"3 jugadores inician un ataque contra una portería grande con el apoyo de 3 compañeros que ocuparán la base, los laterales y los fondos del área.
A ellos se enfrentan 3 defensores que intentan robar y transitar hacia dos porterías pequeñas.
* Los cambios de roles se pueden dar cuando el balón sale fuera o en un tiempo determinado."
Juego de progresión,Finalizar / Evitar Finalizar,3x3*,3vs3 + 3 en el área con portería y balón a la base para reiniciar,https://drive.google.com/file/d/1CKESug2V_zGV3ci3zqS3F0Lg9D8UNKDZ/view?usp=sharing,,https://drive.google.com/file/d/1SLgcaX_l2DKb7-9pqzCGvBRsa_06faLK/view?usp=sharing,"3 jugadores inician un ataque contra una portería grande con el apoyo de 3 compañeros que alternarán su posición en la base, los laterales y el fondo del área.
A ellos se enfrentan 3 defensores que intentan robar y transitar con un pase hacia los comodines que se desplazan a la base para reiniciar la jugada (hasta que no se desplacen los comodines a la base habrá que mantener la posesión y atraer así a los rivales)."
Juego de progresión,Progresar / Evitar Progresar,XxX,Circulación para filtrar,https://drive.google.com/file/d/1ovbvA45Rk0rMYMFg9BuWEIM2_iyMrPiN/view?usp=sharing,,https://drive.google.com/file/d/1tP_hZW11jky8E6HSWqJIULxzQBt7T2qX/view?usp=sharing,"Circulación de balón en la que dos líneas ofensivas de 4 se meten dentro de un rectángulo y tienen el objetivo de filtrar pases a la siguiente línea para que así llegue el balón al punta (en ese momento podrán entrar a defenderle) y pueda definir ante el portero. 
Las líneas defensivas hacen trabajo de basculación, salto y corrección. 
En cada tanda se amplían las posibilidades defensivas de la línea."
Juego de progresión,Progresar / Evitar Progresar,5x4,Cicrulación para filtrar entre línea defensiva + presión tras pérdida,https://drive.google.com/file/d/1YHhSSpH8xklXFpqp1umr29h_bLxvj4QS/view?usp=sharing,,https://drive.google.com/file/d/1iiMAY9Rpyi1UQkk9GFCXQYEk-zEAKu7N/view?usp=sharing,"Circulación de la línea de medios para filtrar al punta y trabajo de la línea defensiva para cerrar líneas de pase.
Si consiguen robar, tienen que intentar sacar la pelota a una de las porterías laterales o al entrenador.
El equipo atacante realiza una presión tras pérdida."
Juego de progresión,Progresar / Evitar Progresar,6x4,Cicrulación para filtrar y finalizar,https://drive.google.com/file/d/1Em2qE3z1itiUklGpfkWsUOk92aRXIixz/view?usp=sharing,,https://drive.google.com/file/d/19M8afo6l963QUNDLHFkn6fXKrOQIsW55/view?usp=sharing,"Trabajo de línea con finalización en porterías. Una  línea de 4 se enfrenta a otra, intentando filtrar el pase para que dos delanteros reciban el balón por detrás.
Si un delantero recibe el balón, debe combinar obligatoriamente con el otro para finalizar en portería. Ese lapso de tiempo es el que aprovecharán los defensas para recuperar la posición y evitar la finalización."
Juego de progresión,Progresar / Evitar Progresar,4x4*,4vs4 + 2 en zonas y finalización,https://drive.google.com/file/d/1TVfTAQU_irnS7B5WudYq0Fgazxd6NyFw/view?usp=sharing,,https://drive.google.com/file/d/1MXI8dr5SWRsF1FYR6_CSh3LkcN00VzYR/view?usp=sharing,"Trabajo de línea con finalización en porterías. Una  línea de 4 se enfrenta a otra (cada una en una franja), intentando filtrar el pase para que dos delanteros reciban el balón por detrás.
Si un delantero recibe el balón, debe combinar obligatoriamente con el otro para finalizar en portería. Ese lapso de tiempo es el que aprovecharán los defensas para recuperar la posición y evitar la finalización."
Juego de progresión,Progresar / Evitar Progresar,3x2,3vs2 avanzando líneas,https://drive.google.com/file/d/1DjzDHa75oCez2QjuVcWRFQKR9VoYQD7f/view?usp=sharing,,https://drive.google.com/file/d/1KXP4LUNU5HClWvzOqHSJgutNK0-bCtIq/view?usp=share_link,"Tres jugadores mueven el balón intentando conectar con un compañero que se sitúa a la espalda de los dos defensores.
Si lo consiguen, avanzan dos de ellos a la siguiente zona y continuan la progresión. 
Si hay robo, se cambian los roles los dos equipos."
Juego de progresión,Progresar / Evitar Progresar,4x2,Batalla de líneas,https://drive.google.com/file/d/1UJTC_7YJksAIHs_AQ4i7dbczSvofFL6j/view?usp=sharing,,https://drive.google.com/file/d/1EFopbLZFMPE80nUdMMXyhAhtlgRGBi1M/view?usp=sharing,"Los jugadores se divididen en tres filas horizontales y a su vez, en tríos colocados en columnas.
La tarea empieza con un miembro del trío (de los que están en los fondos) intentando filtrar el balón al otro. Mientras tanto, el que está entre ellos, intenta robar el balón (2vs1).
En una segunda ronda se juntan dos tríos (4vs2). En una tercera, tres (6vs3). Y en una cuarta, cuatro (8vs4).
* Cuando hay más de un defensor, se fomenta el salto a la presión y la corrección de la línea defensiva."
Juego de progresión,Progresar / Evitar Progresar,XxX,Avance progresivo por líneas,https://drive.google.com/file/d/1DEvtWAn2EQNrtjpoTD_Vvx45BwWfh6tP/view?usp=sharing,,https://drive.google.com/file/d/1OBPODhjYz_0uJDJ1N-hM-Fvf3liU63Ae/view?usp=sharing,"Un equipo iicia una salida de balón en zona de iniciación en superioridad numérica intentando avanzar a la siguiente zona en conducción o con un pase filtrado. Para ello podrán apoyarse con el portero o con los jugadores de la siguiente línea (si no pueden girarse, actúan como apoyos para dar continuidad a la jugada)
Si con una conducción o con un pase filtrado, un jugador consigue controlar en la siguiente zona, se incorporará a la misma el jugador que ha conducido o uno de los que estaba en posesión de balón, para hacer ahí otra superioridad numérica.
En la zona de creación se hará lo mismo y en la zona de finalización se intentará superar la línea defensiva en conducción o pase filtrado para finalizar en portería.
Si el equipo defensivo roba la pelota tiene que iniciar una transición ofensiva en la cual se olvidan las zonas y reglas de progresión.
Cuando acaba la jugada, se recuperan las posiciones e inicia el otro equipo."
Rondo,Mantener / Evitar Mantener,4x2,Rondo 4vs2 + 3,https://drive.google.com/file/d/1J9fLpsSN2c3L4l1hy416EZ4ML69unjaX/view?usp=sharing,,https://drive.google.com/file/d/1S98oBnq-_F5JvTCBABGMw2LUzuo78FI1/view?usp=sharing,Rondo 4x2 con 3 jugadores esperando en el cuadrado contiguo. Tras dar 3 pases se puede enviar el balón a dicho cuadrado.
Rondo,Mantener / Evitar Mantener,4x2,3 rondos 4vs2 + 2 móviles,https://drive.google.com/file/d/1EBHo6ygJ4AKbdxjr-MrIx1uwv3mSCvtH/view?usp=sharing,,https://drive.google.com/file/d/1bbBJt8t0JMWMmeRMnbpVvhY9rih-SlSm/view?usp=sharing,3 rondos 4vs2 con dos comodines que se van desplazando de un rondo a otro cada vez que tocan el balón.
Rondo,Mantener / Evitar Mantener,4x1,4 rondos juntos 1vs2 con 8 apoyos exteriores,https://drive.google.com/file/d/1YkSP-VvQXeZoYgxvQQNI4seujrBU0iKL/view?usp=sharing,,https://drive.google.com/file/d/1kHxXyFmSjLXFLrvjMz38dhMw6EcCfR77/view?usp=sharing,"4 rondos 1vs2 con 8 apoyos exteriores que se reparten y dan línea de pase a los dos balones para crear superioridad en todos los sitios.
Se hace una competicion a ver qué grupo acumula más robos.
* Se puede meter más de un balón."
Rondo,Mantener / Evitar Mantener,4x1,Rondos pentagonales con jugadores compartidos,https://drive.google.com/file/d/1TgrSxNfgNkq79E-qfUcKVhcwqW11gnVi/view?usp=sharing,,https://drive.google.com/file/d/1ylVyHCZWxdDJke9XexnwarbfUtl6FW31/view?usp=sharing,"Rondo en pentágonos con jugadores que 
comparten rondos y que estarán atentos a jugar a 
varios balones. Tras la pérdida, cambio de rol."
